,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available
0,23726706,0.9500000000000001,False,IJburg - Zeeburgereiland,52.34916,4.97879,Private room,2,1,1,6,$88.00,2,14,True,0,3,4.99,True,,44.0,176.0,5%,11%,16%,4.99,IJburg - Zeeburgereiland,0.18082191780821918
1,35815036,1.0,True,Noord-Oost,52.42419,4.95689,Entire home/apt,2,1,1,5,$105.00,3,100,True,4,6,4.96,False,,52.5,315.0,5%,12%,16%,4.99,Noord-Oost,0.6657534246575343
2,31553121,1.0,False,Noord-West,52.43237,4.91821,Entire home/apt,4,2,3,3,$152.00,2,60,True,0,1,4.74,False,,38.0,304.0,7%,11%,22%,4.99,Noord-West,0.00821917808219178
3,34745823,0.9400000000000001,False,Gaasperdam - Driemond,52.2962,5.01231,Entire home/apt,2,1,2,8,$87.00,2,1125,True,5,0,4.87,False,,43.5,174.0,6%,10%,15%,4.99,Gaasperdam - Driemond,0.7945205479452054
4,44586947,0.88,True,Gaasperdam - Driemond,52.31475,5.0303,Private room,4,1,3,4,$160.00,2,31,True,9,3,5.0,False,,40.0,320.0,9%,22%,20%,4.99,Gaasperdam - Driemond,0.41643835616438357
5,15801253,0.86,False,Watergraafsmeer,52.34507,4.96413,Private room,3,1,3,1,$90.00,2,1125,True,3,1,4.77,False,,30.0,180.0,6%,14%,16%,4.99,Watergraafsmeer,0.44931506849315067
6,19572024,1.0,False,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3,6,14,$279.00,3,300,True,6,3,4.69,False,,46.5,837.0,9%,16%,14%,4.99,Watergraafsmeer,0.8164383561643835
7,18801518,0.62,False,Watergraafsmeer,52.33828,4.96443,Private room,4,1,3,10,$140.00,2,1125,True,0,0,4.66,False,,35.0,280.0,5%,17%,17%,4.99,Watergraafsmeer,0.6410958904109589
8,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3,3,7,$185.00,6,21,True,0,0,4.83,False,,37.0,1110.0,6%,12%,18%,4.99,Watergraafsmeer,0.03561643835616438
9,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3,4,4,$135.00,6,1125,True,7,0,4.43,False,,27.0,810.0,8%,13%,17%,4.99,Noord-Oost,0.16164383561643836
10,620821365404674198,1.0,False,Bijlmer-Centrum,52.32977343580048,4.937511981512809,Private room,2,1,2,2,$120.00,1,365,True,17,3,4.33,True,,60.0,120.0,7%,14%,15%,4.99,Bijlmer-Centrum,0.9397260273972603
11,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1,1,8,$59.00,30,1125,True,0,0,4.88,True,,59.0,1770.0,5%,12%,15%,2.99,Watergraafsmeer,0.6712328767123288
12,50888392,1.0,True,Gaasperdam - Driemond,52.30917,5.03833,Entire home/apt,4,2,2,13,$150.00,2,1125,True,0,0,4.94,True,,37.5,300.0,8%,20%,23%,4.99,Gaasperdam - Driemond,0.4191780821917808
13,31742663,0.9400000000000001,False,Gaasperdam - Driemond,52.29591,5.01325,Entire home/apt,2,1,2,6,$89.00,2,1125,True,4,3,4.8,False,,44.5,178.0,6%,14%,15%,4.99,Gaasperdam - Driemond,0.2876712328767123
14,48864190,0.97,False,IJburg - Zeeburgereiland,52.33851,4.99961,Entire home/apt,16,8,12,14,$350.00,1,1125,True,19,0,4.82,True,,21.88,350.0,-1%,23%,30%,4.99,IJburg - Zeeburgereiland,0.821917808219178
15,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3,4,14,$275.00,5,42,True,18,1,4.14,False,,45.83,1375.0,2%,15%,28%,4.99,Bijlmer-Centrum,0.4602739726027397
16,51340421,0.64,False,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2,2,11,$275.00,1,1125,True,10,3,4.73,False,,68.75,275.0,11%,15%,23%,4.99,Watergraafsmeer,0.8684931506849315
17,50472290,0.17,False,Watergraafsmeer,52.33423,4.92661,Entire home/apt,3,2,4,8,$48.00,14,40,True,5,0,,True,,16.0,672.0,11%,11%,14%,0.99,Watergraafsmeer,0.28493150684931506
18,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,3,2,6,$150.00,4,1125,True,1,1,4.88,False,,25.0,600.0,9%,13%,18%,4.99,Watergraafsmeer,0.0684931506849315
19,33241583,1.0,True,Geuzenveld - Slotermeer,52.3886,4.83331,Private room,6,1,6,31,$742.00,1,1125,True,23,2,4.2700000000000005,True,,123.67,742.0,2%,19%,19%,10.99,Geuzenveld - Slotermeer,0.936986301369863
20,33241443,1.0,True,Geuzenveld - Slotermeer,52.38818,4.83349,Private room,2,1,1,12,$230.00,1,1125,True,20,0,4.7,True,,115.0,230.0,6%,15%,22%,4.99,Geuzenveld - Slotermeer,0.9698630136986301
21,630205700395904586,0.33,False,Watergraafsmeer,52.330476805177724,4.935151987399042,Entire home/apt,8,4,8,21,$640.00,1,365,True,28,0,,False,,80.0,640.0,6%,9%,44%,10.99,Watergraafsmeer,0.9945205479452055
22,47709873,1.0,False,Westerpark,52.39589,4.87612,Entire home/apt,2,1,1,6,$210.00,3,120,True,0,0,4.75,True,,105.0,630.0,9%,15%,19%,4.99,Westerpark,0.43561643835616437
23,35243521,0.4,False,Buitenveldert - Zuidas,52.31303,4.87458,Private room,2,1,2,6,$153.00,1,3,True,10,0,4.89,False,,76.5,153.0,6%,25%,18%,4.99,Buitenveldert - Zuidas,0.1917808219178082
24,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1,2,4,$49.00,3,28,True,3,4,4.47,True,,24.5,147.0,8%,10%,14%,0.99,Oostelijk Havengebied - Indische Buurt,0.20821917808219179
25,20168,0.72,False,Centrum-Oost,52.36407,4.89393,Private room,2,1,1,7,$106.00,1,365,True,0,0,4.44,True,,53.0,106.0,8%,16%,20%,4.99,Centrum-Oost,0.0
26,27886,1.0,True,Centrum-West,52.38761,4.89188,Private room,2,1,1,12,$126.00,2,356,True,0,0,4.94,True,,63.0,252.0,6%,10%,21%,4.99,Centrum-West,0.0
27,28871,1.0,True,Centrum-West,52.36775,4.89092,Private room,2,1,1,4,$75.00,2,1825,True,1,8,4.88,False,,37.5,150.0,6%,15%,14%,4.99,Centrum-West,0.4273972602739726
28,29051,1.0,True,Centrum-Oost,52.36584,4.89111,Private room,1,1,1,1,$55.00,2,730,True,4,6,4.36,False,,55.0,110.0,5%,13%,17%,2.99,Centrum-Oost,0.3863013698630137
29,44391,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2,2,1,$240.00,3,730,True,0,0,4.71,False,,60.0,720.0,9%,17%,29%,4.99,Centrum-Oost,0.0
30,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2,2,5,$232.00,3,1125,True,0,8,4.91,False,,77.33,696.0,10%,25%,25%,4.99,Centrum-West,0.46301369863013697
